Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhodie Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Grand Total
5/29,40,8,26,47,21,15,19,67,,25,9,29,50,8,12,9,57,24,63,86,8,16,9,15,19,89,,3,54,5,45,81,15,9,56,10,91,9,11,6,19,,75,17,37,7,10,34,10,18,13,1406
5/30,65,20,57,65,89,72,79,86,16,91,88,34,82,74,88,44,58,60,90,22,74,91,80,84,59,87,10,31,84,52,83,40,89,76,77,74,40,66,74,45,85,23,92,92,79,7,88,69,86,82,7,3306
5/31,21,59,20,13,56,13,21,13,10,67,9,56,50,35,23,27,20,76,33,88,58,54,19,64,78,43,89,68,7,82,16,14,14,10,37,57,23,58,58,91,50,3,49,38,76,,40,29,28,45,43,2051
6/1,39,14,10,38,25,19,63,49,84,84,32,36,6,28,84,44,42,68,68,5,59,28,24,56,35,70,,34,15,,79,,58,78,,26,16,42,32,10,41,10,9,30,66,,73,27,66,14,85,1921
6/2,7,,18,36,16,21,17,21,2,70,11,62,5,13,45,51,17,8,9,31,16,65,9,74,87,91,,94,73,11,76,,24,33,,50,30,17,10,84,56,24,44,48,78,,58,56,40,58,6,1772
6/3,7,,7,22,12,21,72,16,8,17,43,69,,9,32,15,50,60,10,89,24,12,9,21,87,91,,17,44,8,57,,8,57,,18,77,9,14,59,18,,74,9,76,,56,49,30,21,,1504
6/4,44,,10,72,22,8,46,72,,58,49,26,5,26,76,45,69,9,9,,45,56,16,51,45,92,,89,13,,28,94,44,22,,31,83,12,26,,68,83,11,14,35,,32,51,26,53,37,1803
6/5,10,,13,72,55,12,63,37,89,30,15,24,85,44,8,59,39,56,30,7,19,38,17,71,68,65,,,58,9,86,22,56,75,87,10,85,75,43,6,20,,73,87,83,96,25,89,13,25,,2149
6/6,57,6,68,61,93,60,89,91,,93,91,63,,91,93,62,33,91,57,,81,71,75,66,57,58,,51,40,82,76,54,86,75,91,35,78,89,55,95,67,93,71,89,84,,85,82,83,92,9,3269
6/7,36,,18,54,22,21,78,31,,60,56,22,7,73,64,23,38,31,87,9,20,12,15,57,66,55,,26,8,35,76,27,32,31,,49,46,72,23,89,17,92,9,54,83,,54,18,23,45,11,1875
6/8,23,,58,19,55,77,12,27,2,87,15,59,,9,14,51,22,77,18,7,45,73,9,43,83,68,,15,51,6,10,48,25,55,92,11,32,9,17,30,91,89,75,58,88,,62,49,50,19,8,1943
6/9,17,83,12,59,55,53,73,16,,69,63,97,,32,20,79,44,92,8,,66,38,18,36,8,9,4,25,51,9,24,36,14,12,,16,7,30,11,12,60,86,11,59,73,84,68,63,54,24,4,1884
6/10,8,,37,6,26,76,54,38,8,85,34,65,7,19,32,35,6,87,69,56,20,41,11,9,76,89,,89,51,,39,3,34,35,,15,8,60,64,54,65,89,30,79,26,,78,83,58,40,,1994
6/11,50,,56,23,17,18,23,71,6,71,28,86,,19,54,44,41,81,7,8,30,15,11,55,74,52,87,19,27,,29,,20,7,,10,62,25,17,,60,,64,44,13,,64,39,45,70,87,1729
6/12,12,7,56,25,12,54,39,24,,30,31,48,6,10,15,69,39,25,55,7,27,9,30,67,6,31,,,15,24,7,8,15,18,11,20,39,72,14,89,40,,30,26,47,,10,43,10,50,8,1330
6/13,29,4,37,47,32,55,65,73,10,82,29,58,92,13,40,84,56,45,15,,16,19,45,46,48,12,,46,60,21,13,,18,21,45,14,86,14,9,33,16,,61,60,70,,38,24,39,55,,1795
6/14,46,92,68,26,41,14,30,69,12,62,13,53,79,37,9,54,12,21,22,50,12,39,13,39,65,20,84,32,11,43,27,,41,72,84,24,32,19,13,64,76,,80,42,58,,12,18,12,23,22,1887
6/15,23,71,15,49,13,22,3,17,,35,21,25,,15,12,26,45,55,38,10,61,12,10,46,72,31,,7,8,86,46,84,13,9,2,8,94,82,21,60,19,,57,53,24,,43,23,44,49,9,1568
