Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Grand Total
5/28,9,7,13,8,12,57,9,8,85,9,12,36,,37,60,32,6,58,16,,59,82,37,25,30,68,,8,55,98,7,11,13,62,51,6,9,55,9,,62,,29,19,75,34,12,16,9,64,14,1493
5/29,59,99,51,76,86,76,15,90,94,16,75,80,57,89,94,62,77,23,54,84,65,44,32,87,43,71,,4,83,45,28,49,90,32,,79,46,18,28,83,52,,92,84,69,,12,75,14,16,,2698
5/30,61,6,53,75,29,30,46,66,9,18,24,12,78,28,86,34,78,65,88,70,59,61,16,55,37,79,,16,71,60,68,94,39,56,68,21,54,60,15,21,76,90,45,17,56,7,11,25,13,15,6,2267
5/31,7,5,42,14,23,34,10,63,0,10,14,9,4,55,17,72,10,57,31,87,16,12,63,61,65,54,55,9,13,3,26,7,25,19,91,17,25,25,26,9,43,50,21,26,38,,18,4,16,15,93,1509
6/1,13,40,15,18,14,33,6,29,11,9,13,18,8,28,64,8,13,8,55,,14,14,17,85,33,16,,8,18,17,44,69,11,20,98,9,8,8,11,12,13,83,9,11,68,16,16,23,16,10,10,1190
6/2,12,20,10,5,9,27,46,30,44,8,66,56,12,38,31,19,3,54,37,9,6,37,37,60,8,40,18,81,14,96,13,58,17,14,,18,6,11,9,92,12,4,16,22,28,,23,50,22,8,15,1371
6/3,7,9,14,26,9,9,55,54,91,8,12,22,1,62,34,14,48,20,46,38,10,10,10,9,55,48,,70,25,,8,83,9,58,17,7,5,10,9,50,73,83,54,21,68,,21,44,17,12,,1465
6/4,7,9,9,45,17,19,72,45,62,10,11,8,7,44,18,52,52,56,23,,9,44,19,41,48,62,,75,18,92,27,74,60,9,6,12,8,55,10,79,60,87,17,20,9,,16,60,21,70,,1674
6/5,16,83,26,25,61,45,84,82,,20,27,8,,44,44,62,12,14,57,44,17,17,43,63,32,61,,22,33,2,57,7,77,55,84,24,27,24,25,76,7,82,29,29,9,81,57,24,52,81,15,1966
6/6,63,24,11,17,13,22,28,64,,16,21,26,56,55,55,29,24,74,36,59,71,15,25,54,27,20,,13,45,9,23,6,23,69,30,12,45,13,24,19,13,16,45,20,50,81,17,71,23,22,,1594
6/7,76,8,16,68,65,11,26,32,86,16,67,43,16,37,72,21,54,22,69,34,55,13,32,73,8,46,,55,57,94,44,56,40,33,96,26,37,41,14,16,8,91,57,12,53,,17,12,11,10,39,1985
6/8,17,59,14,26,16,15,26,21,91,10,37,22,35,37,61,39,13,24,25,53,9,18,17,20,60,41,3,66,63,21,25,40,38,22,74,8,15,44,14,88,16,,83,15,44,11,13,18,13,13,8,1561
6/9,46,,15,57,27,85,44,38,39,14,18,17,55,68,83,69,56,37,76,67,57,68,69,72,59,20,,73,13,87,80,39,34,62,10,35,6,26,9,70,48,25,32,22,36,0,12,62,14,26,48,2125
6/10,60,4,16,46,22,19,56,60,93,20,22,9,7,42,73,21,27,55,84,55,17,81,33,76,44,60,,58,20,90,22,5,25,56,,18,64,8,24,,48,,54,36,50,81,11,66,9,70,,1917
6/11,67,29,59,7,16,24,37,57,19,12,58,46,,57,52,43,7,49,59,29,60,45,16,53,17,15,,50,41,48,26,6,17,25,,14,26,14,16,64,84,,55,21,14,,53,18,25,9,83,1642
6/12,13,43,19,47,15,64,31,59,2,11,17,42,15,59,55,13,36,51,8,95,15,13,20,11,41,9,,59,12,6,38,15,17,69,8,10,50,42,13,8,14,,22,14,20,90,70,20,58,14,,1473
6/13,18,,23,16,25,20,43,64,,17,73,13,7,9,16,32,25,9,14,9,26,14,14,20,9,29,,87,8,91,52,10,44,20,15,9,42,59,24,80,19,,43,13,26,,11,14,12,28,7,1259
6/14,15,8,27,42,20,35,58,75,87,13,16,41,83,77,58,14,25,19,20,16,61,23,17,79,37,8,9,8,17,66,12,45,32,61,30,14,23,85,22,76,38,56,80,11,17,,13,8,14,29,65,1805
6/15,9,11,11,9,12,10,14,33,8,9,11,8,7,20,9,9,9,21,30,9,20,14,16,12,32,8,8,16,14,6,23,56,9,15,12,8,9,11,9,9,14,8,10,9,37,7,8,18,8,9,7,701
6/16,16,51,17,18,14,14,37,25,95,9,16,7,59,16,19,18,29,44,23,32,67,4,21,8,25,68,,14,63,73,9,43,11,23,89,10,8,8,16,20,8,1,9,14,27,,16,14,16,9,9,1262
6/17,19,91,21,11,35,60,45,78,85,11,82,36,90,73,37,16,11,17,64,14,77,62,35,58,47,56,3,20,45,13,13,38,16,50,84,9,80,77,27,89,42,,70,24,45,,16,68,18,12,96,2186
6/18,18,7,17,18,13,33,39,70,57,10,15,10,6,20,25,58,8,10,14,1,9,13,18,66,8,8,85,25,9,,9,94,15,74,,18,34,86,8,8,19,8,9,9,20,,16,59,15,45,,1236
6/19,9,,13,10,14,9,16,19,42,8,30,9,71,13,27,22,8,41,34,,58,54,40,43,25,68,9,13,33,8,16,2,16,25,10,9,28,7,8,9,60,57,9,12,26,,9,21,15,21,84,1190
6/20,9,10,9,10,9,32,7,42,11,7,9,23,78,10,9,13,9,6,18,26,9,10,14,10,20,25,93,14,8,78,7,60,9,19,12,8,7,7,8,76,24,16,8,9,17,,9,10,9,13,88,1044
6/21,28,,15,12,9,27,11,30,36,8,10,8,17,11,9,17,15,6,8,27,46,17,9,25,17,59,,11,7,,11,2,16,15,61,11,8,14,8,,10,58,38,9,32,,16,30,11,45,,890
6/22,41,,13,74,12,20,11,20,95,14,56,57,91,59,63,15,77,48,70,23,68,9,70,41,37,51,86,84,19,18,19,50,56,17,9,9,7,11,15,22,59,74,56,14,67,86,32,32,20,9,9,2015
6/23,5,20,10,13,11,23,13,77,92,11,11,50,9,14,23,72,30,11,4,23,8,77,42,78,11,15,86,8,7,15,39,8,29,9,87,8,47,17,10,87,17,4,5,9,31,,40,61,35,19,8,1439
6/24,22,20,56,24,41,16,9,62,2,19,73,63,33,30,45,9,24,53,88,4,70,63,30,52,34,61,,19,22,42,58,95,60,18,100,36,48,68,9,92,79,,22,55,55,,35,29,28,68,14,2055
6/25,18,75,17,26,17,26,28,55,92,16,21,43,17,78,71,38,30,79,12,8,14,33,17,69,44,12,,6,22,56,33,84,28,58,77,22,9,9,9,9,7,56,53,17,49,4,41,8,34,14,93,1754
6/26,9,6,9,16,20,38,17,58,88,12,35,57,8,89,74,35,26,7,20,25,22,59,56,73,31,32,91,22,20,64,30,85,27,26,26,9,59,67,20,42,24,44,66,15,24,89,9,76,11,38,,1906
6/27,20,12,14,45,85,7,55,67,45,16,28,28,8,82,89,59,63,52,69,59,68,63,66,39,36,64,35,25,19,5,39,89,63,41,32,29,67,82,9,81,68,86,9,81,34,,66,79,71,56,8,2413
6/28,14,44,40,14,81,9,71,91,13,29,29,89,72,83,69,14,18,83,26,58,72,77,79,78,13,47,68,23,77,66,66,77,89,67,67,24,21,71,60,58,20,75,16,23,66,46,26,57,27,45,56,2604
6/29,15,12,70,34,68,7,9,33,9,21,16,9,30,76,40,9,22,6,54,67,75,30,56,41,24,26,,55,32,2,57,91,29,35,6,20,10,57,24,49,10,72,17,16,65,91,30,9,24,65,60,1785
6/30,16,61,33,39,41,8,52,32,97,16,15,19,23,61,55,6,34,34,24,18,9,55,66,67,12,9,9,13,33,,12,11,11,30,36,12,24,50,10,9,8,63,26,21,9,,9,20,9,45,,1372
7/1,23,,38,12,41,51,8,31,8,18,9,58,88,35,8,37,49,61,30,45,15,27,77,50,29,50,,34,45,92,84,3,60,19,93,16,11,14,16,7,15,,16,17,14,,67,9,68,72,,1670
7/2,8,51,23,45,14,22,12,8,13,11,9,40,5,14,25,60,32,11,7,41,9,12,24,25,14,20,,19,14,77,22,5,17,17,86,9,14,9,15,8,10,7,17,8,58,,12,10,11,9,9,1018
7/3,37,9,59,23,31,46,69,71,55,10,35,47,8,34,53,59,54,29,14,74,22,35,73,44,16,13,6,38,14,19,22,,17,18,23,10,58,17,11,88,15,4,10,10,19,87,10,20,11,10,81,1638
7/4,43,32,61,18,47,60,40,93,93,26,57,64,9,74,65,61,14,57,35,96,80,86,89,71,51,76,33,7,68,75,78,79,91,90,91,43,25,41,41,93,13,91,72,72,58,18,87,71,84,19,,2938
7/5,28,77,10,9,32,55,54,88,88,18,12,28,9,19,40,17,8,51,23,89,39,8,15,79,79,17,,5,73,14,38,84,30,11,,13,56,85,10,88,49,68,52,10,23,,26,48,20,37,8,1840
7/6,8,13,14,13,16,20,56,11,85,9,21,10,14,16,21,37,9,23,7,46,21,13,17,29,8,31,90,10,14,94,43,20,14,16,9,9,9,14,17,81,8,7,12,9,31,,21,9,21,17,50,1193
7/7,26,28,6,9,9,12,53,61,7,9,9,8,86,49,23,23,9,69,58,92,28,9,17,51,23,19,,64,18,,14,95,14,31,95,8,8,10,9,96,29,7,17,11,61,80,14,38,12,9,76,1609
7/8,7,45,22,17,10,57,41,30,0,9,8,27,,21,46,9,14,8,9,53,7,9,8,13,14,9,,52,8,8,7,15,7,9,93,9,5,79,7,91,9,,31,9,19,,16,54,19,24,81,1145
7/9,11,6,8,18,9,17,58,53,1,9,9,8,50,10,12,13,12,53,12,17,10,9,22,40,21,72,82,19,29,83,55,26,9,9,27,8,14,9,7,5,9,8,9,8,11,,17,19,14,9,,1046
7/10,8,52,9,7,9,13,5,22,3,8,5,20,30,6,13,39,10,8,7,33,3,6,8,14,50,5,,6,61,90,5,5,9,11,90,9,9,36,8,3,8,85,6,7,20,91,8,46,8,8,7,1029
7/11,52,80,9,17,13,27,9,34,21,9,43,7,45,9,15,74,9,9,15,42,9,10,25,44,15,9,,17,33,1,11,7,13,16,3,9,23,12,8,69,30,41,18,9,87,,29,22,28,9,11,1157
7/12,7,75,12,9,8,27,18,21,11,8,9,35,3,8,12,8,9,9,9,5,8,12,8,6,20,15,92,36,16,8,20,4,9,9,8,8,7,12,8,46,16,15,9,9,4,56,9,38,9,9,18,847
7/13,7,92,8,7,6,7,29,8,4,8,5,8,9,7,9,13,8,14,8,7,5,7,7,8,14,9,13,8,7,91,8,21,8,8,7,6,7,12,6,50,7,,6,7,7,,14,18,12,6,6,649
7/14,4,30,14,8,7,13,21,15,4,8,8,8,27,5,9,14,8,15,10,17,8,6,10,9,7,15,71,9,9,8,13,2,8,16,7,10,14,8,8,25,6,,13,8,8,,29,7,24,9,56,668
7/15,29,13,9,8,9,32,6,24,4,9,15,41,9,20,11,21,7,10,8,8,7,31,21,58,44,24,,9,14,4,9,13,14,9,87,9,8,52,8,58,8,85,8,8,23,,15,14,16,9,,958
7/16,9,7,15,8,23,15,48,44,7,10,9,9,10,65,10,32,7,18,18,72,8,9,42,12,60,16,,42,9,8,32,14,12,28,91,17,5,28,9,73,18,57,16,15,28,8,24,16,15,12,51,1211
7/17,36,4,16,17,40,76,60,90,86,13,64,80,9,66,56,41,25,26,30,12,16,31,61,71,27,23,,33,42,31,17,21,55,44,78,17,56,14,24,5,41,93,42,43,25,74,36,14,42,22,10,1955
7/18,17,42,25,17,8,14,55,55,5,10,9,7,71,14,10,19,17,12,7,56,61,55,11,17,47,18,98,58,9,14,27,34,10,24,10,13,82,17,15,82,27,8,18,15,74,90,59,9,63,22,9,1566
7/19,52,46,9,19,15,17,35,15,43,18,15,10,85,16,65,33,13,56,43,53,9,36,35,29,43,37,90,34,9,16,37,29,38,26,5,22,69,10,13,5,10,86,26,19,20,,28,9,28,29,52,1557
7/20,9,43,8,13,7,6,11,8,14,9,9,5,47,7,7,5,9,32,9,9,7,7,9,10,7,8,,6,8,9,5,6,8,13,13,6,9,9,6,9,9,71,6,9,10,2,7,5,8,5,21,575
7/21,6,87,9,24,10,10,7,54,68,9,8,44,,11,8,12,57,7,6,16,9,11,7,31,8,9,,39,12,7,6,7,9,8,,7,10,32,7,6,18,21,9,8,32,89,8,20,7,7,8,905
7/22,7,2,17,6,8,6,6,8,9,8,8,7,15,14,9,6,8,7,9,5,7,7,9,7,43,59,87,5,10,8,7,6,7,12,8,8,20,21,6,9,15,6,6,7,9,10,7,5,7,7,11,601
7/23,19,51,34,16,14,21,15,12,13,9,19,9,45,31,9,28,8,8,17,9,14,29,65,27,63,38,,14,9,,35,63,13,10,77,9,67,13,10,57,17,9,14,16,24,83,44,19,28,6,55,1315
5/al,2168,2440,1990,2106,2107,2495,2789,3899,3526,1098,2175,2570,2359,2971,3014,2871,2155,2808,2749,3106,2639,2778,2816,3471,2541,3042,1779,2977,2572,3239,2401,3383,2559,2742,3365,1407,2411,2732,1273,4022,2393,2977,2597,1706,2826,2400,2362,2593,2172,1946,1945,131462
